檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數,轄管分局,備註
WOA00671,黎明里,臺北市中正區館前路43號,3,720.0,中正第一分局,
WOA00672,黎明里,臺北市中正區館前路49號,1,2341.0,中正第一分局,
WOA00874,黎明里,臺北市中正區許昌街42-1號,1,2836.0,中正第一分局,
WOA00937,黎明里,臺北市中正區忠孝西路一段50號,1,6508.0,中正第一分局,
WOA00938,黎明里,臺北市中正區南陽街6號,1,350.0,中正第一分局,
WOA00939,黎明里,臺北市中正區館前路59號,1,60.0,中正第一分局,
WOA00941,黎明里,臺北市中正區許昌街45號,1,2836.0,中正第一分局,
WOA00941,黎明里,臺北市中正區許昌街42號,1,6508.0,中正第一分局,
WOA00942,黎明里,臺北市中正區許昌街30號,1,350.0,中正第一分局,
WOA00385,黎明里,臺北市中正區信陽街16號,1,288.0,中正第一分局,
WOA00388,黎明里,臺北市中正區信陽街18號,2,418.0,中正第一分局,
WOA00387,黎明里,臺北市中正區信陽街26號,2,689.0,中正第一分局,
WOA00388,黎明里,臺北市中正區信陽街30號,2,350.0,中正第一分局,
WOA01178,黎明里,臺北市中正區南陽街50號,2,681.0,中正第一分局,
WOA00674,黎明里,臺北市中正區館前路71號,2,2398.0,中正第一分局,
WOA00675,黎明里,臺北市中正區館前路77號,1,1974.0,中正第一分局,
WOA00676,黎明里,臺北市中正區館前路77號,2,1974.0,中正第一分局,
WOA00846,黎明里,臺北市中正區襄陽路23號,1,681.0,中正第一分局,
WOA00878,黎明里,臺北市中正區襄陽路7號,4,2398.0,中正第一分局,
WOA01177,黎明里,臺北市中正區館前路65號,2,1974.0,中正第一分局,
WOA01178,黎明里,臺北市中正區南陽街50號,2,1974.0,中正第一分局,
WOA00547,黎明里,臺北市中正區開封街一段2號,3,1276.0,中正第一分局,
WOA00611,黎明里,臺北市中正區漢口街一段15號,1,326.0,中正第一分局,
WOA00612,黎明里,臺北市中正區漢口街一段16號,1,306.0,中正第一分局,
WOA00689,黎明里,臺北市中正區館前路2號,2,1458.0,中正第一分局,
WOA00669,黎明里,臺北市中正區館前路36號,1,352.0,中正第一分局,
WOA00670,黎明里,臺北市中正區館前路42號,3,438.0,中正第一分局,
WOA00673,黎明里,臺北市中正區館前路6號,2,526.0,中正第一分局,
WOA00677,黎明里,臺北市中正區館前路8號,1,1021.0,中正第一分局,
WOA00851,黎明里,臺北市中正區懷寧街1號,1,362.0,中正第一分局,
WOA00854,黎明里,臺北市中正區懷寧街17號,2,297.0,中正第一分局,
WOA00856,黎明里,臺北市中正區懷寧街39號,1,170.0,中正第一分局,
WOA00889,黎明里,臺北市中正區忠孝西路一段70號,1,336.0,中正第一分局,
WOA00932,黎明里,臺北市中正區開封街一段3號,1,654.0,中正第一分局,
WOA00933,黎明里,臺北市中正區館前路20號,1,120.0,中正第一分局,
WOA00934,黎明里,臺北市中正區漢口街一段3號,1,120.0,中正第一分局,
WOA00935,黎明里,臺北市中正區館前路18號,1,70.0,中正第一分局,
WOA00936,黎明里,臺北市中正區懷寧街7號,1,70.0,中正第一分局,
WOA01180,黎明里,臺北市中正區館前路34號,1,692.0,中正第一分局,
WOA01181,黎明里,臺北市中正區懷寧街53號,1,440.0,中正第一分局,
WOA01182,黎明里,臺北市中正區懷寧街35號,1,144.0,中正第一分局,
WOA01292,黎明里,臺北市中正區館前路12號,4,1293.0,中正第一分局,
WOA00169,黎明里,臺北市中正區忠孝西路一段72號,2,1665.0,中正第一分局,
WOA00424,黎明里,臺北市中正區重慶南路一段1號,1,258.0,中正第一分局,
WOA00427,黎明里,臺北市中正區重慶南路一段13號,1,217.0,中正第一分局,
WOA00461,黎明里,臺北市中正區重慶南路一段5巷1號,1,48.0,中正第一分局,
WOA00928,黎明里,臺北市中正區開封街一段27號,1,100.0,中正第一分局,
WOA00929,黎明里,臺北市中正區懷寧街10號,1,60.0,中正第一分局,
WOA00930,黎明里,臺北市中正區重慶南路一段3號,1,50.0,中正第一分局,
WOA00425,黎明里,臺北市中正區重慶南路一段115號,1,318.0,中正第一分局,
WOA00451,黎明里,臺北市中正區重慶南路一段77號,1,844.0,中正第一分局,
WOA00848,黎明里,臺北市中正區襄陽路8號,2,633.0,中正第一分局,
WOA00860,黎明里,臺北市中正區懷寧街74號,1,130.0,中正第一分局,
WOA00863,黎明里,臺北市中正區懷寧街90號,1,370.0,中正第一分局,
WOA01164,黎明里,臺北市中正區懷寧街64號,1,100.0,中正第一分局,
WOA01165,黎明里,臺北市中正區襄陽路39號,1,50.0,中正第一分局,
WOA01166,黎明里,臺北市中正區襄陽路37號,1,30.0,中正第一分局,
WOA01167,黎明里,臺北市中正區襄陽路35號,1,30.0,中正第一分局,
WOA01168,黎明里,臺北市中正區襄陽路33號,1,30.0,中正第一分局,
WOA01169,黎明里,臺北市中正區襄陽路27號,1,30.0,中正第一分局,
WOA01170,黎明里,臺北市中正區襄陽路29號,1,50.0,中正第一分局,
WOA01193,黎明里,臺北市中正區衡陽路7號,1,569.0,中正第一分局,
WOA00914,黎明里,臺北市中正區開封街一段20號,1,100.0,中正第一分局,
WOA00915,黎明里,臺北市中正區重慶南路15號號,1,1200.0,中正第一分局,
WOA00916,黎明里,臺北市中正區懷寧街32號,1,400.0,中正第一分局,
WOA00444,黎明里,臺北市中正區重慶南路一段43號,1,638.0,中正第一分局,
WOA00445,黎明里,臺北市中正區重慶南路一段43號,2,638.0,中正第一分局,
WOA00446,黎明里,臺北市中正區重慶南路一段49號,2,478.0,中正第一分局,
WOA00448,黎明里,臺北市中正區重慶南路一段63號,1,652.0,中正第一分局,
WOA00449,黎明里,臺北市中正區重慶南路一段75號,1,642.0,中正第一分局,
WOA00450,黎明里,臺北市中正區重慶南路一段75號,2,642.0,中正第一分局,
WOA00616,黎明里,臺北市中正區漢口街一段50號,1,169.0,中正第一分局,
WOA00858,黎明里,臺北市中正區懷寧街60號,3,916.0,中正第一分局,
WOA01195,黎明里,臺北市中正區懷寧街36號,1,236.0,中正第一分局,
WOA00859,黎明里,臺北市中正區懷寧街62號,1,116.0,中正第一分局,
WOA01197,黎明里,臺北市中正區懷寧街36號,1,560.0,中正第一分局,
WOA01298,黎明里,臺北市中正區重慶南路一段57號,4,1536.0,中正第一分局,
WOA00905,黎明里,臺北市中正區中山北路一段26巷6號,1,160.0,中正第一分局,
WOA00906,黎明里,臺北市中正區北平西路16號,1,36.0,中正第一分局,
WOA00007,黎明里,臺北市中正區中山北路一段26巷1號,1,69.0,中正第一分局,
WOA00008,黎明里,臺北市中正區中山北路一段26巷5號,1,38.0,中正第一分局,
WOA00009,黎明里,臺北市中正區中山北路一段26巷9號,1,100.0,中正第一分局,
WOA00010,黎明里,臺北市中正區中山北路一段8巷1號,1,406.0,中正第一分局,
WOA00912,黎明里,臺北市中正區中山北路一段2號,1,1806.0,中正第一分局,
WOA00967,黎明里,臺北市中正區北平西路3號,1,2000.0,中正第一分局,
WOA00903,黎明里,臺北市中正區忠孝西路33號,1,120.0,中正第一分局,
WOA00164,黎明里,臺北市中正區忠孝西路41號,1,3005.0,中正第一分局,
WOA00165,黎明里,臺北市中正區忠孝西路41號,2,3005.0,中正第一分局,
WOA00904,黎明里,臺北市中正區忠孝西路43號,1,3000.0,中正第一分局,
WOA00166,黎明里,臺北市中正區忠孝西路45號,2,476.0,中正第一分局,
WOA00096,黎明里,臺北市中正區凱達格蘭大道3號,1,161.0,中正第一分局,
WOA00097,黎明里,臺北市中正區凱達格蘭大道3號,1,348.0,中正第一分局,
WOA00655,黎明里,臺北市中正區衡陽路18號,1,2538.0,中正第一分局,
WOA00656,黎明里,臺北市中正區衡陽路18號,2,2617.0,中正第一分局,
WOA00853,黎明里,臺北市中正區衡陽路6號,1,454.0,中正第一分局,
WOA01184,黎明里,臺北市中正區衡陽路10號,1,577.0,中正第一分局,
WOA01185,黎明里,臺北市中正區凱達格蘭大道3號,1,348.0,中正第一分局,
WOA01186,黎明里,臺北市中正區懷寧街116號,1,50.0,中正第一分局,
WOA01187,黎明里,臺北市中正區懷寧街110號,1,100.0,中正第一分局,
WOA01188,黎明里,臺北市中正區重慶南路一段147號,1,150.0,中正第一分局,
WOA01189,黎明里,臺北市中正區懷寧街103號,1,200.0,中正第一分局,
WOA01190,黎明里,臺北市中正區凱達格蘭大道3號,2,1092.0,中正第一分局,
WOA01191,黎明里,臺北市中正區重慶南路一段121號,1,3140.0,中正第一分局,
WOA01192,黎明里,臺北市中正區凱達格蘭大道3號,3,192.0,中正第一分局,
WOA01268,黎明里,臺北市中正區懷寧街112號,2,420.0,中正第一分局,
WOA00463,東門里,臺北市中正區徐州路16號,1,177.0,中正第一分局,
WOA00472,東門里,臺北市中正區徐州路8號之1,1,568.0,中正第一分局,
WOA00896,東門里,臺北市中正區杭州南路一段14巷2弄1號,1,1432.0,中正第一分局,
WOA01320,東門里,臺北市中正區徐州路6號,1,508.0,中正第一分局,
WOA01444,東門里,臺北市中正區徐州路10號,1,213.0,中正第一分局,
WOA00470,東門里,臺北市中正區徐州路26號,1,296.0,中正第一分局,
WOA00331,東門里,臺北市中正區林森南路43號,1,50.0,中正第一分局,
WOA01300,東門里,臺北市中正區徐州路20、22號,1,154.0,中正第一分局,
WOA01452,東門里,臺北市中正區仁愛路一段23巷12號,1,325.0,中正第一分局,
WOA01454,東門里,臺北市中正區仁愛路一段23巷19號,1,301.0,中正第一分局,
WOA00877,東門里,臺北市中正區杭州南路一段14巷19號,1,662.0,中正第一分局,
WOA00888,東門里,臺北市中正區杭州南路一段14巷13、14號,2,552.0,中正第一分局,
WOA01148,東門里,臺北市中正區杭州南路一段14巷19號,1,690.0,中正第一分局,
WOA01149,東門里,臺北市中正區杭州南路一段14巷13號,1,552.0,中正第一分局,
WOA01155,東門里,臺北市中正區紹興南街18之15號,1,80.0,中正第一分局,
WOA00030,東門里,臺北市中正區丹陽街51號,1,690.0,中正第一分局,
WOA00876,東門里,臺北市中正區丹陽街27、29號,1,782.0,中正第一分局,
WOA00880,東門里,臺北市中正區杭州南路一段14巷12號,1,1289.0,中正第一分局,
WOA00881,東門里,臺北市中正區杭州南路一段18巷8號,1,141.0,中正第一分局,
WOA00882,東門里,臺北市中正區9臨丹陽街20號,1,821.0,中正第一分局,
WOA00894,東門里,臺北市中正區杭州南路一段18巷9號,1,292.0,中正第一分局,
WOA00895,東門里,臺北市中正區仁愛路一段37號,1,2610.0,中正第一分局,
WOA01147,東門里,臺北市中正區紹興南街15號之1,1,106.0,中正第一分局,
WOA00040,東門里,臺北市中正區仁愛路一段18巷10號,1,45.0,中正第一分局,
WOA00301,東門里,臺北市中正區杭州南路一段71巷22號,1,246.0,中正第一分局,
WOA00042,東門里,臺北市中正區杭州南路一段18巷5號,1,56.0,中正第一分局,
WOA00043,東門里,臺北市中正區仁愛路一段18巷7號,1,238.0,中正第一分局,
WOA00394,東門里,臺北市中正區信義路一段5號,1,2256.0,中正第一分局,
WOA00330,東門里,臺北市中正區林森南路101號,1,396.0,中正第一分局,
WOA01144,東門里,臺北市中正區信義路一段5號,1,2256.0,中正第一分局,
WOA01303,東門里,臺北市中正區林森南路105之5號,1,312.0,中正第一分局,
WOA01322,東門里,臺北市中正區仁愛路一段18巷18號,1,174.0,中正第一分局,
WOA01346,東門里,臺北市中正區信義路一段1號,3,375.0,中正第一分局,
WOA00395,東門里,臺北市中正區信義路一段9號,1,1809.0,中正第一分局,
WOA00478,東門里,臺北市中正區徐州路18巷8號,1,28.0,中正第一分局,
WOA00045,東門里,臺北市中正區仁愛路一段23巷10號,1,32.0,中正第一分局,
WOA00047,東門里,臺北市中正區仁愛路一段23巷25號,1,38.0,中正第一分局,
WOA00048,東門里,臺北市中正區仁愛路一段23巷27號,1,262.0,中正第一分局,
WOA00336,東門里,臺北市中正區林森南路61巷7號,1,44.0,中正第一分局,
WOA01161,東門里,臺北市中正區徐州路8號,1,28.0,中正第一分局,
WOA00474,東門里,臺北市中正區林森南路61巷15弄2號,1,37.0,中正第一分局,
WOA00338,東門里,臺北市中正區林森南路61巷15弄3號,1,81.0,中正第一分局,
WOA00474,東門里,臺北市中正區徐州路18巷19之2號,1,77.0,中正第一分局,
WOA00477,東門里,臺北市中正區徐州路18巷7號1樓,1,176.0,中正第一分局,
WOA00044,東門里,臺北市中正區仁愛路一段23巷1號,1,80.0,中正第一分局,
WOA00282,東門里,臺北市中正區杭州南路一段14巷15號,1,406.0,中正第一分局,
WOA00498,東門里,臺北市中正區紹興南街18-15號,1,256.0,中正第一分局,
WOA00499,東門里,臺北市中正區紹興南街18-9號,1,317.0,中正第一分局,
WOA00500,東門里,臺北市中正區紹興南街20號,1,120.0,中正第一分局,
WOA00504,東門里,臺北市中正區紹興南街6號,1,474.0,中正第一分局,
WOA00505,東門里,臺北市中正區紹興南街16巷2號,1,36.0,中正第一分局,
WOA01153,東門里,臺北市中正區紹興南街18之9號,1,221.0,中正第一分局,
WOA01154,東門里,臺北市中正區紹興南街20號,1,80.0,中正第一分局,
WOA01157,東門里,臺北市中正區杭州南路一段14巷17號,1,140.0,中正第一分局,
WOA01158,東門里,臺北市中正區林森南路61巷25號,1,80.0,中正第一分局,
WOA01159,東門里,臺北市中正區紹興南街16巷2號,1,80.0,中正第一分局,
WOA00032,東門里,臺北市中正區仁愛路一段2之4號,1,181.0,中正第一分局,
WOA00041,東門里,臺北市中正區仁愛路一段18巷3號,1,254.0,中正第一分局,
WOA00692,東門里,臺北市中正區濟南路一段6號,1,3989.0,中正第一分局,
WOA01145,東門里,臺北市中正區仁愛路一段42號,1,2438.0,中正第一分局,
WOA00038,東門里,臺北市中正區杭州南路一段28之1號,1,2581.0,中正第一分局,
WOA00235,東門里,臺北市中正區仁愛路一段50號,1,4938.0,中正第一分局,
WOA01366,東門里,臺北市中正區杭州南路一段24號,1,4882.0,中正第一分局,
WOA00339,東門里,臺北市中正區林森南路99巷11號,1,34.0,中正第一分局,
WOA00900,東門里,臺北市中正區信義路一段21之3號,3,9185.0,中正第一分局,
WOA00466,東門里,臺北市中正區徐州路2號,1,322.0,中正第一分局,
WOA01339,東門里,臺北市中正區杭州南路一段12號,1、2,1554.0,中正第一分局,
WOA00059,文北里,臺北市中正區仁愛路二段43號,1,740.0,中正第一分局,
WOA00060,文北里,臺北市中正區仁愛路二段47號,1,378.0,中正第一分局,
WOA00303,文北里,臺北市中正區行杭州南路一段71巷24號,1,404.0,中正第一分局,
WOA00358,文北里,臺北市中正區金山南路一段47號,1,1214.0,中正第一分局,
WOA00367,文北里,臺北市中正區金山南路一段63巷3號,2,617.0,中正第一分局,
WOA00625,文北里,臺北市中正區銅山街20號,1,329.0,中正第一分局,
WOA01142,文北里,臺北市中正區金山南路一段47號,2,452.0,中正第一分局,
WOA01141,文北里,臺北市中正區金山南路一段47號,3,848.0,中正第一分局,
WOA00049,文北里,臺北市中正區仁愛路二段1號,1,429.0,中正第一分局,
WOA00050,文北里,臺北市中正區仁愛路二段11號,1,234.0,中正第一分局,
WOA00056,文北里,臺北市中正區仁愛路二段3號,1,125.0,中正第一分局,
WOA00062,文北里,臺北市中正區仁愛路二段5號,1,117.0,中正第一分局,
WOA00065,文北里,臺北市中正區仁愛路二段7號,1,310.0,中正第一分局,
WOA00242,文北里,臺北市中正區杭州南路一段91巷,3,357.0,中正第一分局,
WOA00899,文北里,臺北市中正區仁愛路二段15巷17號,1,428.0,中正第一分局,
WOA01275,文北里,臺北市中正區仁愛路二段13號,2,610.0,中正第一分局,
WOA01383,文北里,臺北市中正區仁愛路二段86號,1,1733.0,中正第一分局,
WOA01385,文北里,臺北市中正區仁愛路二段9號,1,838.0,中正第一分局,
WOA01385,文北里,臺北市中正區仁愛路二段9巷17號,1,169.0,中正第一分局,
WOA01398,文北里,臺北市中正區杭州南路一段55號,1,294.0,中正第一分局,
WOA00237,文北里,臺北市中正區杭州南路一段69號,1,972.0,中正第一分局,
WOA00298,文北里,臺北市中正區杭州南路一段71巷11號,1,362.0,中正第一分局,
WOA00622,文北里,臺北市中正區銅山街14號,1,192.0,中正第一分局,
WOA00624,文北里,臺北市中正區銅山街18號,1,413.0,中正第一分局,
WOA00630,文北里,臺北市中正區銅山街9號,1,285.0,中正第一分局,
WOA00632,文北里,臺北市中正區銅山街3巷1號,1,629.0,中正第一分局,
WOA00634,文北里,臺北市中正區銅山街3巷3號,1,294.0,中正第一分局,
WOA00635,文北里,臺北市中正區銅山街3巷9號,1,258.0,中正第一分局,
WOA00712,文北里,臺北市中正區濟南路二段6號,1,384.0,中正第一分局,
WOA00724,文北里,臺北市中正區濟南路二段8巷2號,1,265.0,中正第一分局,
WOA01128,文北里,臺北市中正區杭州南路一段63號,1,200.0,中正第一分局,
WOA01324,文北里,臺北市中正區銅山街3巷9號,1,310.0,中正第一分局,
WOA01324,文北里,臺北市中正區杭州南路一段43號,4,578.0,中正第一分局,
WOA01359,文北里,臺北市中正區銅山街10號,1,2913.0,中正第一分局,
WOA00357,文北里,臺北市中正區金山南路一段31號,1,244.0,中正第一分局,
WOA00359,文北里,臺北市中正區金山南路一段66-2號,1,162.0,中正第一分局,
WOA00360,文北里,臺北市中正區金山南路一段66-2號,1,53.0,中正第一分局,
WOA00702,文北里,臺北市中正區濟南路二段22之1號,1,248.0,中正第一分局,
WOA00705,文北里,臺北市中正區濟南路二段30號,1,414.0,中正第一分局,
WOA00708,文北里,臺北市中正區濟南路二段36號,3,910.0,中正第一分局,
WOA00730,文北里,臺北市中正區臨沂街26號,1,233.0,中正第一分局,
WOA00769,文北里,臺北市中正區臨沂街24巷2號,1,530.0,中正第一分局,
WOA00752,文北里,臺北市中正區臨沂街24巷4號,1,397.0,中正第一分局,
WOA01126,文北里,臺北市中正區臨銅山街3巷7號,1,188.0,中正第一分局,
WOA00635,文北里,臺北市中正區銅山街3巷9號,1,310.0,中正第一分局,
WOA01324,文北里,臺北市中正區杭州南路一段43號,1,578.0,中正第一分局,
WOA01359,文北里,臺北市中正區銅山街10號,1,2913.0,中正第一分局,
WOA00357,文北里,臺北市中正區金山南路一段37號,1,244.0,中正第一分局,
WOA00360,文北里,臺北市中正區金山南路一段66-2號,1,162.0,中正第一分局,
WOA00359,文北里,臺北市中正區金山南路一段66之2號,1,53.0,中正第一分局,
WOA00705,文北里,臺北市中正區濟南路二段30號,1,414.0,中正第一分局,
WOA00708,文北里,臺北市中正區濟南路二段36號,1,910.0,中正第一分局,
WOA00730,文北里,臺北市中正區臨沂街26號,1,233.0,中正第一分局,
WOA00732,文北里,臺北市中正區臨沂街34號,1,204.0,中正第一分局,
WOA00751,文北里,臺北市中正區臨沂街24巷2號,1,530.0,中正第一分局,
WOA00752,文北里,臺北市中正區臨沂街24巷4號,1,397.0,中正第一分局,
WOA00769,文北里,臺北市中正區臨沂街32巷3號,1,41.0,中正第一分局,
WOA01130,文北里,臺北市中正區金山南路一段43號,1,220.0,中正第一分局,
WOA01131,文北里,臺北市中正區金山南路一段23號,1,238.0,中正第一分局,
WOA00357,文北里,臺北市中正區金山南路一段37號,1,244.0,中正第一分局,
WOA00359,文北里,臺北市中正區金山南路一段66之2號,1,162.0,中正第一分局,
WOA00702,文北里,臺北市中正區濟南路二段22之1號,1,248.0,中正第一分局,
WOA00705,文北里,臺北市中正區濟南路二段30號,1,414.0,中正第一分局,
WOA00708,文北里,臺北市中正區濟南路二段36號,1,910.0,中正第一分局,
WOA00730,文北里,臺北市中正區臨沂街26號,1,233.0,中正第一分局,
WOA00751,文北里,臺北市中正區臨沂街24巷2號,1,530.0,中正第一分局,
WOA00752,文北里,臺北市中正區臨沂街24巷4號,1,397.0,中正第一分局,
WOA00769,文北里,臺北市中正區臨沂街32巷3號,1,41.0,中正第一分局,
WOA01131,文北里,臺北市中正區金山南路一段23號,1,238.0,中正第一分局,
WOA00051,文北里,臺北市中正區仁愛路二段12號,1,637.0,中正第一分局,
WOA00052,文北里,臺北市中正區仁愛路二段16號,1,813.0,中正第一分局,
WOA00053,文北里,臺北市中正區仁愛路二段18號,1,428.0,中正第一分局,
WOA00057,文北里,臺北市中正區仁愛路二段32號,1,589.0,中正第一分局,
WOA00061,文北里,臺北市中正區仁愛路二段48-6號,1,561.0,中正第一分局,
WOA00076,文北里,臺北市中正區仁愛路二段20巷2號,1,336.0,中正第一分局,
WOA00082,文北里,臺北市中正區仁愛路二段42巷2-1號,1,322.0,中正第一分局,
WOA00246,文北里,臺北市中正區杭州南路一段101巷,1,462.0,中正第一分局,
WOA00368,文北里,臺北市中正區金山南路一段67巷8號,1,650.0,中正第一分局,
WOA01118,文北里,臺北市中正區金山南路一段71號,1,592.0,中正第一分局,
WOA01120,文北里,臺北市中正區金山南路一段69號,1,104.0,中正第一分局,
WOA01122,文北里,臺北市中正區仁愛路二段62號,1,216.0,中正第一分局,
WOA01123,文北里,臺北市中正區仁愛路二段48號,1,389.0,中正第一分局,
WOA01124,文北里,臺北市中正區仁愛路二段2號,1,868.0,中正第一分局,
WOA01351,文北里,臺北市中正區仁愛路二段14巷2號,1,424.0,中正第一分局,
WOA01358,文北里,臺北市中正區仁愛路二段40號,1,2408.0,中正第一分局,
WOA01377,文北里,臺北市中正區仁愛路二段6號,1,773.0,中正第一分局,
WOA00482,文北里,臺北市中正區泰安街5號,1,392.0,中正第一分局,
WOA00484,文北里,臺北市中正區泰安街3巷2號,1,256.0,中正第一分局,
